,companyID,movieID
0,1569,19404
1,97,278
2,174,278
3,4,238
4,10211,238
5,3756,372058
6,5,324857
7,34,324857
8,2251,324857
9,7505,324857
10,84041,324857
11,14439,324857
12,33,424
13,56,424
14,4,240
15,536,240
16,10342,129
17,97,497
18,3982,497
19,174,497
20,370,637
21,14,637
22,14,680
23,59,680
24,216,680
25,6735,490132
26,33,490132
27,9993,155
28,429,155
29,923,155
30,9996,155
31,174,155
32,10717,539
33,508,550
34,711,550
35,20555,550
36,54051,550
37,54052,550
38,25,550
39,4700,550
40,4,13
41,10342,12477
42,12,122
43,11,122
44,5237,122
45,882,346
46,60,389
47,10212,389
48,8880,769
49,60,510
50,286,510
51,174,510
52,7965,311
53,10214,311
54,11670,311
55,218,311
56,68621,311
57,11446,40096
58,13969,40096
59,67486,11216
60,192,14537
61,2266,244786
62,3172,244786
63,32157,244786
64,87239,374430
65,18663,374430
66,5778,374430
67,60,429
68,5755,429
69,7508,429
70,42498,429
71,1315,901
72,16968,26451
73,71975,914
74,60,914
75,4,599
76,3041,18491
77,3466,18491
78,21504,18491
79,3034,18491
80,5542,18491
81,529,18491
82,1194,18491
83,12,73
84,11308,73
85,924,73
86,10342,4935
87,11200,4935
88,11847,4935
89,12518,4935
90,1780,4935
91,10342,128
92,12516,128
93,20192,128
94,2752,128
95,67681,128
96,1779,128
97,345,598
98,346,598
99,856,598
100,11444,598
101,11445,598
102,13969,598
